index,arch_str,accuracy_test,edgegpu_latency_ms,raspi4_latency_ms,edgetpu_latency_ms,pixel3_latency_ms,eyeriss_latency_ms,fpga_latency_ms
0,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,26.6333,5.828042,2.973177,0.792962,1.336560,0.914560,0.649120
1,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|skip_connect~2|,44.0333,6.373348,8.764811,1.075124,6.594650,1.897600,1.878400
2,|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,27.2556,6.557350,8.361579,1.481285,5.853650,2.634880,1.420800
3,|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|,28.0444,2.442226,0.978288,0.374647,0.423550,0.791680,0.386720
4,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,31.4889,4.484859,2.290288,0.616994,0.947672,0.545920,0.546720
5,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|,38.7444,5.656824,5.442171,0.820164,3.430490,1.283200,0.995200
6,|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,39.8667,5.015836,12.949083,-1.000000,7.287410,1.897600,1.878400
7,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,39.5444,5.069227,9.450727,-1.000000,5.434950,1.528960,1.344000
8,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,41.4556,4.599948,5.478090,0.832373,3.499740,1.221760,0.902400
9,|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,27.9556,2.833443,3.151592,-1.000000,2.701950,1.160320,0.809600
10,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,0.8333,0.544376,0.012626,-1.000000,0.006915,1.528960,1.852800
11,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,30.1667,7.222733,8.715092,1.354222,8.343170,2.266240,1.904000
12,|none~0|+|none~0|none~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,0.8333,0.709476,0.248075,-1.000000,0.166090,1.160320,0.809600
13,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,38.2111,6.069322,5.460950,-1.000000,3.746570,1.283200,0.995200
14,|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,38.8778,1.897316,6.767521,-1.000000,5.207840,1.221760,1.411200
15,|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|avg_pool_3x3~2|,13.1778,4.061608,2.253753,0.816844,1.493530,1.160320,0.489120
16,|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,43.3222,3.450441,6.941830,0.682634,4.960920,1.160320,1.318400
17,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,36.4111,5.673699,3.730987,0.893070,1.752060,0.976000,0.780320
18,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,38.0111,5.962033,7.437626,1.067091,5.648640,1.959040,1.462400
19,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,29.8000,3.963461,4.646115,0.833072,3.144160,1.959040,1.462400
20,|none~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,34.2333,5.421214,10.077116,-1.000000,4.995940,1.897600,1.369600
21,|nor_conv_1x1~0|+|none~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,42.5333,4.231339,5.424125,0.598936,2.713880,0.914560,0.969600
22,|avg_pool_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,36.1556,5.379963,6.189700,-1.000000,3.716880,1.959040,1.058720
23,|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,36.3222,6.627078,13.181882,1.531633,6.997780,2.266240,1.904000
24,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,26.9000,4.748683,2.279251,0.766853,1.091090,0.853120,0.517920
25,|skip_connect~0|+|none~0|skip_connect~1|+|none~0|none~1|skip_connect~2|,28.3000,3.430138,1.024056,0.368799,0.422510,0.423040,0.284320
26,|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|,38.3000,7.652302,4.366661,0.926716,1.790580,1.037440,0.911520
27,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|none~2|,35.8444,3.722048,2.873930,-1.000000,1.260220,0.976000,0.780320
28,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|avg_pool_3x3~1|skip_connect~2|,27.0444,5.209565,2.960805,0.932315,1.506590,1.221760,0.620320
29,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,30.2111,3.921828,4.643128,0.828962,3.226320,1.897600,0.927520
30,|none~0|+|skip_connect~0|none~1|+|nor_conv_3x3~0|skip_connect~1|none~2|,38.5889,2.748032,3.103134,0.442626,2.412900,0.791680,0.784000
31,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,36.4444,4.999452,5.482907,0.946748,3.871720,1.590400,0.956320
32,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|none~0|skip_connect~1|nor_conv_3x3~2|,41.9000,4.649787,3.852390,0.655272,3.002350,0.853120,0.876800
33,|nor_conv_1x1~0|+|none~0|skip_connect~1|+|nor_conv_1x1~0|nor_conv_3x3~1|avg_pool_3x3~2|,42.3222,6.594501,5.355666,0.841384,3.824980,1.283200,0.995200
34,|nor_conv_1x1~0|+|none~0|avg_pool_3x3~1|+|nor_conv_3x3~0|none~1|skip_connect~2|,38.1889,5.568886,4.967740,0.722975,3.479030,1.221760,0.902400
35,|skip_connect~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|none~1|nor_conv_3x3~2|,38.0222,3.773313,5.451398,-1.000000,3.439490,1.221760,0.902400
36,|avg_pool_3x3~0|+|nor_conv_3x3~0|skip_connect~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_1x1~2|,37.1444,6.109610,8.716215,1.141147,6.258390,1.959040,1.462400
37,|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|none~0|avg_pool_3x3~1|skip_connect~2|,34.4222,4.981790,2.287467,0.690315,1.297440,0.853120,0.517920
38,|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|none~0|nor_conv_3x3~1|nor_conv_1x1~2|,35.2889,6.038637,10.666875,0.882775,5.824710,1.590400,1.436800
39,|skip_connect~0|+|nor_conv_1x1~0|none~1|+|skip_connect~0|nor_conv_1x1~1|skip_connect~2|,33.6333,4.366226,2.273533,0.620118,1.077050,0.545920,0.546720
40,|none~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|nor_conv_1x1~1|avg_pool_3x3~2|,15.4333,5.668688,7.651757,-1.000000,3.297870,1.221760,0.902400
41,|nor_conv_1x1~0|+|nor_conv_3x3~0|none~1|+|nor_conv_1x1~0|none~1|none~2|,32.3889,1.768456,1.528043,0.396433,0.675134,0.914560,0.969600
42,|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,44.3333,4.776359,7.063488,-1.000000,4.585160,1.221760,1.411200
43,|none~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|,38.8556,5.098023,10.683750,-1.000000,5.004050,1.897600,1.369600
44,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,17.8889,5.009022,2.914003,0.888163,1.486570,1.221760,0.620320
45,|skip_connect~0|+|skip_connect~0|none~1|+|none~0|nor_conv_1x1~1|skip_connect~2|,33.6111,3.799062,1.581422,0.451737,0.668985,0.484480,0.415520
46,|skip_connect~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,38.0889,5.391579,8.517810,1.167930,5.429740,2.266240,1.395200
47,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,36.5556,6.076207,11.053257,-1.000000,4.985890,1.897600,1.369600
48,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,28.5111,4.023776,3.895542,-1.000000,1.077510,0.853120,0.517920
49,|nor_conv_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,37.2444,5.466042,4.581491,0.792491,2.939200,1.221760,0.902400
50,|nor_conv_1x1~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,44.7667,7.298751,7.344240,0.907812,4.953800,1.344640,1.596800
51,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_1x1~2|,30.1778,4.999833,6.310740,-1.000000,2.926750,1.221760,0.902400
52,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|avg_pool_3x3~1|nor_conv_1x1~2|,43.6778,6.275349,9.432492,1.083819,5.293630,1.959040,1.462400
53,|avg_pool_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,11.1333,4.784060,3.875544,0.985634,1.682920,1.528960,0.591520
54,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_3x3~2|,39.1222,6.033063,11.065153,0.945941,5.103910,1.590400,1.436800
55,|skip_connect~0|+|skip_connect~0|avg_pool_3x3~1|+|none~0|skip_connect~1|none~2|,28.3222,2.457991,0.957719,0.379278,0.471729,0.791680,0.386720
56,|nor_conv_3x3~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_1x1~1|nor_conv_1x1~2|,43.1889,5.991831,6.324214,1.177900,4.242100,1.651840,1.087520
57,|none~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,16.0444,3.069630,2.203344,-1.000000,1.463870,1.897600,0.927520
58,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,13.8222,4.291372,2.261966,0.749917,1.493230,1.160320,0.489120
59,|skip_connect~0|+|nor_conv_1x1~0|avg_pool_3x3~1|+|nor_conv_1x1~0|nor_conv_1x1~1|avg_pool_3x3~2|,32.8556,7.029204,4.270887,1.024936,2.328860,1.344640,0.882720
60,|none~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,34.1889,5.708942,2.852153,0.535475,1.295020,0.607360,0.677920
61,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_3x3~1|+|none~0|avg_pool_3x3~1|avg_pool_3x3~2|,31.2111,5.863075,6.317732,1.024519,3.975720,1.590400,0.956320
62,|nor_conv_1x1~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_1x1~0|none~1|skip_connect~2|,40.6889,6.657805,5.383971,0.836206,3.771010,1.283200,0.995200
63,|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_1x1~0|avg_pool_3x3~1|avg_pool_3x3~2|,42.6222,7.775550,8.017346,1.514484,6.659670,2.020480,1.555200
