index,arch_str,accuracy_test,edgegpu_latency_ms,raspi4_latency_ms,edgetpu_latency_ms,pixel3_latency_ms,eyeriss_latency_ms,fpga_latency_ms
0,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,52.9133,5.866079,10.432982,0.966949,5.040070,3.648640,2.572960
1,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|skip_connect~2|,70.2933,6.495385,54.553591,1.447077,23.476800,7.580800,5.315360
2,|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,54.8667,6.567898,49.328738,2.579379,21.789400,10.529920,5.286560
3,|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|,58.3067,2.413144,2.802763,0.434273,1.479170,3.157120,1.542560
4,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,60.1400,4.554896,7.687612,0.702277,3.304520,2.174080,2.163360
5,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|,66.3000,5.775986,29.150065,1.067277,11.610400,5.123200,3.830560
6,|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,68.3600,4.991174,54.535880,-1.000000,23.263500,7.580800,5.315360
7,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,67.5133,5.115914,37.900209,-1.000000,16.639900,6.106240,4.057760
8,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,68.3133,4.725118,26.187816,0.979919,10.746100,4.877440,3.315360
9,|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,58.0933,2.777066,18.745921,-1.000000,8.204570,4.631680,2.800160
