generation,gd,igd,igd_plus,hv,spread
1,0.051767,0.123684,0.079289,0.894731,0.747606
2,0.045513,0.060480,0.015054,0.916613,0.675645
3,0.042595,0.055453,0.015054,0.925552,0.760846
4,0.088560,0.046546,0.000194,0.941015,0.603857
5,0.086023,0.045364,0.000194,0.941186,0.634708
6,0.027270,0.029877,0.000510,0.967881,0.660567
7,0.026361,0.028617,0.000480,0.968124,0.725599
8,0.025262,0.027272,0.000448,0.974945,0.770724
9,0.024214,0.025896,0.004546,0.978202,0.763311
10,0.023043,0.024726,0.000564,0.979026,0.723928
11,0.023043,0.024726,0.000564,0.979026,0.723928
12,0.022219,0.023836,0.000405,0.979233,0.761510
13,0.022219,0.023836,0.000405,0.979233,0.761510
14,0.022219,0.023836,0.000405,0.979233,0.761510
15,0.022219,0.023836,0.000405,0.979233,0.761510
16,0.021826,0.023132,0.000405,0.979546,0.793723
17,0.022822,0.028569,0.000429,0.980933,0.835698
18,0.022822,0.028569,0.000429,0.980933,0.835698
19,0.022822,0.028569,0.000429,0.980933,0.835698
20,0.017293,0.025777,0.001117,0.983817,0.868123
21,0.017293,0.025777,0.001117,0.983817,0.868123
22,0.019998,0.025718,0.000578,0.983837,0.906296
23,0.019998,0.025718,0.000578,0.983837,0.906296
24,0.019998,0.025718,0.000578,0.983837,0.906296
25,0.018916,0.027256,0.008880,0.984220,0.917289
26,0.014112,0.025388,0.009571,0.985077,0.895761
27,0.016959,0.025388,0.009571,0.987099,0.960834
28,0.016453,0.025388,0.009571,0.987099,1.009701
29,0.016269,0.021864,0.003174,0.987297,0.965342
30,0.016269,0.021864,0.003174,0.987297,0.965342
31,0.016269,0.021864,0.003174,0.987297,0.965342
32,0.016244,0.021082,0.001386,0.987313,0.986865
33,0.016244,0.021082,0.001386,0.987313,0.986865
34,0.015832,0.014282,0.001167,0.989241,0.918260
35,0.015492,0.014282,0.001167,0.989243,0.954405
36,0.015492,0.014282,0.001167,0.989243,0.954405
37,0.015492,0.014282,0.001167,0.989243,0.954405
38,0.015492,0.014282,0.001167,0.989243,0.954405
39,0.015716,0.012510,0.000897,0.990056,0.950790
40,0.015716,0.012510,0.000897,0.990056,0.950790
41,0.015716,0.012510,0.000897,0.990056,0.950790
42,0.016669,0.012032,0.000964,0.990076,0.933689
43,0.016669,0.012032,0.000964,0.990076,0.933689
44,0.016669,0.012032,0.000964,0.990076,0.933689
45,0.016669,0.012032,0.000964,0.990076,0.933689
46,0.016669,0.012032,0.000964,0.990076,0.933689
47,0.016669,0.012032,0.000964,0.990076,0.933689
48,0.016669,0.012032,0.000964,0.990076,0.933689
49,0.016669,0.012032,0.000964,0.990076,0.933689
50,0.016669,0.012032,0.000964,0.990076,0.933689
51,0.016669,0.012032,0.000964,0.990076,0.933689
52,0.016669,0.012032,0.000964,0.990076,0.933689
53,0.016669,0.012032,0.000964,0.990076,0.933689
54,0.017177,0.012007,0.000964,0.990144,0.964073
55,0.017177,0.012007,0.000964,0.990144,0.964073
56,0.017177,0.012007,0.000964,0.990144,0.964073
57,0.017177,0.012007,0.000964,0.990144,0.964073
58,0.017177,0.012007,0.000964,0.990144,0.964073
59,0.017177,0.012007,0.000964,0.990144,0.964073
60,0.017177,0.012007,0.000964,0.990144,0.964073
61,0.016938,0.011935,0.000964,0.990175,0.969597
62,0.016938,0.011935,0.000964,0.990175,0.969597
63,0.016938,0.011935,0.000964,0.990175,0.969597
64,0.016938,0.011935,0.000964,0.990175,0.969597
65,0.016938,0.011935,0.000964,0.990175,0.969597
66,0.016938,0.011935,0.000964,0.990175,0.969597
67,0.016938,0.011935,0.000964,0.990175,0.969597
68,0.016938,0.011935,0.000964,0.990175,0.969597
69,0.016938,0.011935,0.000964,0.990175,0.969597
70,0.016938,0.011935,0.000964,0.990175,0.969597
71,0.016630,0.011935,0.000964,0.990175,0.997944
72,0.016630,0.011935,0.000964,0.990175,0.997944
73,0.016904,0.011594,0.001113,0.990391,0.967298
74,0.016904,0.011594,0.001113,0.990391,0.967298
75,0.016904,0.011594,0.001113,0.990391,0.967298
76,0.016904,0.011594,0.001113,0.990391,0.967298
77,0.016904,0.011594,0.001113,0.990391,0.967298
78,0.016667,0.008629,0.001013,0.990587,0.914148
79,0.016667,0.008629,0.001013,0.990587,0.914148
80,0.016667,0.008629,0.001013,0.990587,0.914148
81,0.016667,0.008629,0.001013,0.990587,0.914148
82,0.016667,0.008629,0.001013,0.990587,0.914148
83,0.016667,0.008629,0.001013,0.990587,0.914148
84,0.016667,0.008629,0.001013,0.990587,0.914148
85,0.016667,0.008629,0.001013,0.990587,0.914148
86,0.016667,0.008629,0.001013,0.990587,0.914148
87,0.016667,0.008629,0.001013,0.990587,0.914148
88,0.016667,0.008629,0.001013,0.990587,0.914148
89,0.016667,0.008629,0.001013,0.990587,0.914148
90,0.016667,0.008629,0.001013,0.990587,0.914148
91,0.016667,0.008629,0.001013,0.990587,0.914148
92,0.016667,0.008629,0.001013,0.990587,0.914148
93,0.016667,0.008629,0.001013,0.990587,0.914148
94,0.016667,0.008629,0.001013,0.990587,0.914148
95,0.016667,0.008629,0.001013,0.990587,0.914148
96,0.016667,0.008629,0.001013,0.990587,0.914148
97,0.016667,0.008629,0.001013,0.990587,0.914148
98,0.016667,0.008629,0.001013,0.990587,0.914148
99,0.016667,0.008629,0.001013,0.990587,0.914148
100,0.016667,0.008629,0.001013,0.990587,0.914148
