generation,gd,igd,igd_plus,hv,spread
1,0.373856,0.323226,0.272688,0.995704,1.009815
2,0.337252,0.268553,0.213369,0.995848,1.030745
3,0.289606,0.268517,0.213369,0.996407,1.107185
4,0.312826,0.299579,0.249334,1.019499,1.106288
5,0.309402,0.283109,0.260677,1.023637,1.075870
6,0.312261,0.283109,0.260677,1.044264,1.074948
7,0.312261,0.283109,0.260677,1.044264,1.074948
8,0.312261,0.283109,0.260677,1.044264,1.074948
9,0.312261,0.283109,0.260677,1.044264,1.074948
10,0.275173,0.283109,0.260677,1.044311,1.117067
11,0.275173,0.283109,0.260677,1.044311,1.117067
12,0.275173,0.283109,0.260677,1.044311,1.117067
13,0.261658,0.283109,0.260677,1.044359,1.133037
14,0.261658,0.283109,0.260677,1.044359,1.133037
15,0.273825,0.282829,0.260677,1.045331,1.128845
16,0.273825,0.282829,0.260677,1.045331,1.128845
17,0.289732,0.282383,0.260677,1.045993,1.104392
18,0.289732,0.282383,0.260677,1.045993,1.104392
19,0.271574,0.282344,0.260677,1.046231,1.127550
20,0.272519,0.282344,0.260677,1.053584,1.127096
21,0.273241,0.282344,0.260677,1.059035,1.126777
22,0.272039,0.282016,0.260677,1.060188,1.132065
23,0.272039,0.282016,0.260677,1.060188,1.132065
24,0.272039,0.282016,0.260677,1.060188,1.132065
25,0.273709,0.305188,0.267351,1.063892,1.180813
26,0.273709,0.305188,0.267351,1.063892,1.180813
27,0.340223,0.302631,0.267351,1.067940,1.059116
28,0.340223,0.302631,0.267351,1.067940,1.059116
29,0.340223,0.302631,0.267351,1.067940,1.059116
30,0.340223,0.302631,0.267351,1.067940,1.059116
31,0.340223,0.302631,0.267351,1.067940,1.059116
32,0.340223,0.302631,0.267351,1.067940,1.059116
33,0.340223,0.302631,0.267351,1.067940,1.059116
34,0.449175,0.366089,0.334355,1.118763,0.891975
35,0.449175,0.366089,0.334355,1.118763,0.891975
36,0.449175,0.366089,0.334355,1.118763,0.891975
37,0.449175,0.366089,0.334355,1.118763,0.891975
38,0.389349,0.366089,0.334355,1.118763,1.045801
39,0.389349,0.366089,0.334355,1.118763,1.045801
40,0.389349,0.366089,0.334355,1.118763,1.045801
41,0.389349,0.366089,0.334355,1.118763,1.045801
42,0.348694,0.365918,0.334355,1.118958,1.122373
43,0.348694,0.365918,0.334355,1.118958,1.122373
44,0.348694,0.365918,0.334355,1.118958,1.122373
45,0.348694,0.365918,0.334355,1.118958,1.122373
46,0.348694,0.365918,0.334355,1.118958,1.122373
47,0.348694,0.365918,0.334355,1.118958,1.122373
48,0.348694,0.365918,0.334355,1.118958,1.122373
49,0.348694,0.365918,0.334355,1.118958,1.122373
50,0.348694,0.365918,0.334355,1.118958,1.122373
51,0.348694,0.365918,0.334355,1.118958,1.122373
52,0.348694,0.365918,0.334355,1.118958,1.122373
53,0.348694,0.365918,0.334355,1.118958,1.122373
54,0.348694,0.365918,0.334355,1.118958,1.122373
55,0.348694,0.365918,0.334355,1.118958,1.122373
56,0.348694,0.365918,0.334355,1.118958,1.122373
57,0.348694,0.365918,0.334355,1.118958,1.122373
58,0.348694,0.365918,0.334355,1.118958,1.122373
59,0.348694,0.365918,0.334355,1.118958,1.122373
60,0.348694,0.365918,0.334355,1.118958,1.122373
61,0.348694,0.365918,0.334355,1.118958,1.122373
62,0.348694,0.365918,0.334355,1.118958,1.122373
63,0.348694,0.365918,0.334355,1.118958,1.122373
64,0.348694,0.365918,0.334355,1.118958,1.122373
65,0.348694,0.365918,0.334355,1.118958,1.122373
66,0.348694,0.365918,0.334355,1.118958,1.122373
67,0.348694,0.365918,0.334355,1.118958,1.122373
68,0.348694,0.365918,0.334355,1.118958,1.122373
69,0.348694,0.365918,0.334355,1.118958,1.122373
70,0.348694,0.365918,0.334355,1.118958,1.122373
71,0.348694,0.365918,0.334355,1.118958,1.122373
72,0.348694,0.365918,0.334355,1.118958,1.122373
73,0.348694,0.365918,0.334355,1.118958,1.122373
74,0.348694,0.365918,0.334355,1.118958,1.122373
75,0.348694,0.365918,0.334355,1.118958,1.122373
76,0.348694,0.365918,0.334355,1.118958,1.122373
77,0.348694,0.365918,0.334355,1.118958,1.122373
78,0.348694,0.365918,0.334355,1.118958,1.122373
79,0.318754,0.365019,0.334355,1.119170,1.167359
80,0.318754,0.365019,0.334355,1.119170,1.167359
81,0.318754,0.365019,0.334355,1.119170,1.167359
82,0.318754,0.365019,0.334355,1.119170,1.167359
83,0.318754,0.365019,0.334355,1.119170,1.167359
84,0.318754,0.365019,0.334355,1.119170,1.167359
85,0.318754,0.365019,0.334355,1.119170,1.167359
86,0.318754,0.365019,0.334355,1.119170,1.167359
87,0.318754,0.365019,0.334355,1.119170,1.167359
88,0.318754,0.365019,0.334355,1.119170,1.167359
89,0.318754,0.365019,0.334355,1.119170,1.167359
90,0.318754,0.365019,0.334355,1.119170,1.167359
91,0.318754,0.365019,0.334355,1.119170,1.167359
92,0.318754,0.365019,0.334355,1.119170,1.167359
93,0.318754,0.365019,0.334355,1.119170,1.167359
94,0.295540,0.365019,0.334355,1.119207,1.198045
95,0.295540,0.365019,0.334355,1.119207,1.198045
96,0.295540,0.365019,0.334355,1.119207,1.198045
97,0.295540,0.365019,0.334355,1.119207,1.198045
98,0.295540,0.365019,0.334355,1.119207,1.198045
99,0.295540,0.365019,0.334355,1.119207,1.198045
100,0.295540,0.365019,0.334355,1.119207,1.198045
