generation,gd,igd,igd_plus,hv,spread
1,0.090197,0.141561,0.052865,0.825149,0.644309
2,0.088194,0.141561,0.052865,0.825149,0.710197
3,0.083137,0.130130,0.049905,0.847277,0.624215
4,0.080582,0.130130,0.049905,0.849023,0.623642
5,0.081770,0.126376,0.047114,0.864503,0.619783
6,0.082205,0.125413,0.047114,0.866116,0.679445
7,0.070045,0.106609,0.051829,0.907102,0.602908
8,0.067420,0.103946,0.051829,0.909071,0.628942
9,0.066240,0.103946,0.051829,0.909603,0.628501
10,0.183547,0.071135,0.032143,1.060914,0.847440
11,0.183453,0.070735,0.032143,1.061255,0.848379
12,0.183453,0.070735,0.032143,1.061255,0.848379
13,0.183346,0.070359,0.032143,1.061518,0.847583
14,0.183226,0.069591,0.032143,1.062056,0.846429
15,0.183226,0.069591,0.032143,1.062056,0.846429
16,0.183212,0.069565,0.032143,1.062271,0.849693
17,0.175627,0.068144,0.032143,1.062916,0.883937
18,0.175627,0.068144,0.032143,1.062916,0.883937
19,0.175554,0.067726,0.032143,1.063209,0.883457
20,0.058828,0.080285,0.032143,0.922535,0.601296
21,0.058828,0.080285,0.032143,0.922535,0.601296
22,0.059067,0.079688,0.032143,0.924662,0.521424
23,0.059067,0.079688,0.032143,0.924662,0.521424
24,0.057277,0.079688,0.032143,0.925542,0.523606
25,0.057277,0.079688,0.032143,0.925542,0.523606
26,0.057277,0.079688,0.032143,0.925542,0.523606
27,0.042182,0.075779,0.032394,0.932683,0.577087
28,0.042182,0.075779,0.032394,0.932683,0.577087
29,0.042182,0.075779,0.032394,0.932683,0.577087
30,0.040597,0.074271,0.032394,0.933738,0.575666
31,0.040597,0.074271,0.032394,0.933738,0.575666
32,0.040597,0.074271,0.032394,0.933738,0.575666
33,0.040597,0.074271,0.032394,0.933738,0.575666
34,0.040158,0.073391,0.032394,0.934354,0.580089
35,0.040158,0.073391,0.032394,0.934354,0.580089
36,0.048485,0.072811,0.032143,0.935263,0.603687
37,0.048485,0.072811,0.032143,0.935263,0.603687
38,0.048485,0.072811,0.032143,0.935263,0.603687
39,0.048485,0.072811,0.032143,0.935263,0.603687
40,0.047747,0.068410,0.032143,0.935967,0.618647
41,0.047747,0.068410,0.032143,0.935967,0.618647
42,0.047747,0.068410,0.032143,0.935967,0.618647
43,0.047747,0.068410,0.032143,0.935967,0.618647
44,0.047747,0.068410,0.032143,0.935967,0.618647
45,0.047747,0.068410,0.032143,0.935967,0.618647
46,0.047747,0.068410,0.032143,0.935967,0.618647
47,0.046543,0.067153,0.032143,0.938607,0.610827
48,0.046543,0.067153,0.032143,0.938607,0.610827
49,0.046543,0.067153,0.032143,0.938607,0.610827
50,0.046543,0.067153,0.032143,0.938607,0.610827
51,0.046543,0.067153,0.032143,0.938607,0.610827
52,0.046543,0.067153,0.032143,0.938607,0.610827
53,0.046543,0.067153,0.032143,0.938607,0.610827
54,0.044569,0.065189,0.032143,0.940293,0.623234
55,0.044569,0.065189,0.032143,0.940293,0.623234
56,0.044569,0.065189,0.032143,0.940293,0.623234
57,0.044569,0.065189,0.032143,0.940293,0.623234
58,0.044569,0.065189,0.032143,0.940293,0.623234
59,0.044441,0.064351,0.032143,0.940880,0.623282
60,0.044441,0.064351,0.032143,0.940880,0.623282
61,0.044441,0.064351,0.032143,0.940880,0.623282
62,0.044441,0.064351,0.032143,0.940880,0.623282
63,0.044441,0.064351,0.032143,0.940880,0.623282
64,0.044441,0.064351,0.032143,0.940880,0.623282
65,0.044441,0.064351,0.032143,0.940880,0.623282
66,0.044441,0.064351,0.032143,0.940880,0.623282
67,0.033073,0.059501,0.032143,0.948387,0.613991
68,0.033073,0.059501,0.032143,0.948387,0.613991
69,0.033073,0.059501,0.032143,0.948387,0.613991
70,0.033073,0.059501,0.032143,0.948387,0.613991
71,0.033073,0.059501,0.032143,0.948387,0.613991
72,0.033073,0.059501,0.032143,0.948387,0.613991
73,0.033073,0.059501,0.032143,0.948387,0.613991
74,0.032431,0.059120,0.032143,0.948739,0.613392
75,0.032431,0.059120,0.032143,0.948739,0.613392
76,0.032431,0.059120,0.032143,0.948739,0.613392
77,0.032431,0.059120,0.032143,0.948739,0.613392
78,0.032431,0.059120,0.032143,0.948739,0.613392
79,0.032431,0.059120,0.032143,0.948739,0.613392
80,0.032431,0.059120,0.032143,0.948739,0.613392
81,0.031141,0.059120,0.032143,0.948739,0.689798
82,0.031141,0.059120,0.032143,0.948739,0.689798
83,0.031141,0.059120,0.032143,0.948739,0.689798
84,0.031141,0.059120,0.032143,0.948739,0.689798
85,0.031141,0.059120,0.032143,0.948739,0.689798
86,0.031141,0.059120,0.032143,0.948739,0.689798
87,0.031141,0.059120,0.032143,0.948739,0.689798
88,0.031141,0.059120,0.032143,0.948739,0.689798
89,0.032878,0.058617,0.032143,0.949795,0.751601
90,0.032878,0.058617,0.032143,0.949795,0.751601
91,0.032878,0.058617,0.032143,0.949795,0.751601
92,0.032878,0.058617,0.032143,0.949795,0.751601
93,0.032878,0.058617,0.032143,0.949795,0.751601
94,0.032878,0.058617,0.032143,0.949795,0.751601
95,0.032878,0.058617,0.032143,0.949795,0.751601
96,0.032878,0.058617,0.032143,0.949795,0.751601
97,0.032878,0.058617,0.032143,0.949795,0.751601
98,0.032878,0.058617,0.032143,0.949795,0.751601
99,0.032878,0.058617,0.032143,0.949795,0.751601
100,0.032878,0.058617,0.032143,0.949795,0.751601
