generation,gd,igd,igd_plus,hv,spread
1,0.103220,0.087576,0.025034,0.915430,0.640648
2,0.073195,0.095854,0.025034,0.853954,0.553454
3,0.066725,0.087580,0.025034,0.876113,0.564689
4,0.067870,0.087580,0.025034,0.876756,0.573782
5,0.069493,0.085618,0.025593,0.871437,0.589624
6,0.060834,0.076284,0.025946,0.898296,0.627408
7,0.056525,0.070203,0.029189,0.912870,0.658949
8,0.055886,0.065335,0.025946,0.914236,0.667969
9,0.055449,0.065335,0.025946,0.914236,0.703747
10,0.054508,0.064635,0.025946,0.914792,0.707594
11,0.051404,0.064159,0.025946,0.915194,0.671286
12,0.054532,0.064103,0.025946,0.915564,0.630999
13,0.054532,0.064103,0.025946,0.915564,0.630999
14,0.052468,0.063860,0.025946,0.916769,0.635405
15,0.052468,0.063860,0.025946,0.916769,0.635405
16,0.052212,0.063117,0.025946,0.917549,0.647086
17,0.050105,0.063117,0.025946,0.918846,0.648019
18,0.050105,0.063117,0.025946,0.918846,0.648019
19,0.050447,0.062613,0.026325,0.919413,0.639142
20,0.053287,0.062613,0.026325,0.919724,0.644510
21,0.036483,0.055914,0.026325,0.931578,0.632254
22,0.037547,0.055809,0.026757,0.933112,0.635682
23,0.037547,0.055809,0.026757,0.933112,0.635682
24,0.037547,0.055809,0.026757,0.933112,0.635682
25,0.037547,0.055809,0.026757,0.933112,0.635682
26,0.037547,0.055809,0.026757,0.933112,0.635682
27,0.037547,0.055809,0.026757,0.933112,0.635682
28,0.037547,0.055809,0.026757,0.933112,0.635682
29,0.037547,0.055809,0.026757,0.933112,0.635682
30,0.037547,0.055809,0.026757,0.933112,0.635682
31,0.037547,0.055809,0.026757,0.933112,0.635682
32,0.037547,0.055809,0.026757,0.933112,0.635682
33,0.036843,0.054940,0.026757,0.934025,0.642933
34,0.036797,0.054677,0.026757,0.934160,0.645350
35,0.036797,0.054677,0.026757,0.934160,0.645350
36,0.041995,0.052321,0.026757,0.934280,0.628330
37,0.041995,0.052321,0.026757,0.934280,0.628330
38,0.041670,0.052320,0.026757,0.934434,0.664915
39,0.041670,0.052320,0.026757,0.934434,0.664915
40,0.041380,0.052320,0.026757,0.934434,0.699479
41,0.040817,0.051588,0.026757,0.935055,0.685770
42,0.042228,0.051588,0.026757,0.935512,0.715761
43,0.042228,0.051588,0.026757,0.935512,0.715761
44,0.042228,0.051588,0.026757,0.935512,0.715761
45,0.042228,0.051588,0.026757,0.935512,0.715761
46,0.042228,0.051588,0.026757,0.935512,0.715761
47,0.041498,0.050973,0.025845,0.935911,0.723059
48,0.041498,0.050973,0.025845,0.935911,0.723059
49,0.041498,0.050973,0.025845,0.935911,0.723059
50,0.039050,0.050180,0.025845,0.933637,0.694050
51,0.039050,0.050180,0.025845,0.933637,0.694050
52,0.039050,0.050180,0.025845,0.933637,0.694050
53,0.039050,0.050180,0.025845,0.933637,0.694050
54,0.034506,0.049347,0.025845,0.935100,0.629660
55,0.034506,0.049347,0.025845,0.935100,0.629660
56,0.034506,0.049347,0.025845,0.935100,0.629660
57,0.034506,0.049347,0.025845,0.935100,0.629660
58,0.034506,0.049347,0.025845,0.935100,0.629660
59,0.034378,0.048707,0.025845,0.935772,0.638510
60,0.034378,0.048707,0.025845,0.935772,0.638510
61,0.033949,0.048073,0.026757,0.936201,0.652810
62,0.033949,0.048073,0.026757,0.936201,0.652810
63,0.033949,0.048073,0.026757,0.936201,0.652810
64,0.033949,0.048073,0.026757,0.936201,0.652810
65,0.033949,0.048073,0.026757,0.936201,0.652810
66,0.033949,0.048073,0.026757,0.936201,0.652810
67,0.023742,0.043796,0.029058,0.941606,0.630683
68,0.023742,0.043796,0.029058,0.941606,0.630683
69,0.023742,0.043796,0.029058,0.941606,0.630683
70,0.023676,0.043448,0.029058,0.941789,0.633884
71,0.023676,0.043448,0.029058,0.941789,0.633884
72,0.023676,0.043448,0.029058,0.941789,0.633884
73,0.023676,0.043448,0.029058,0.941789,0.633884
74,0.023676,0.043448,0.029058,0.941789,0.633884
75,0.023676,0.043448,0.029058,0.941789,0.633884
76,0.023676,0.043448,0.029058,0.941789,0.633884
77,0.023676,0.043448,0.029058,0.941789,0.633884
78,0.023676,0.043448,0.029058,0.941789,0.633884
79,0.022483,0.041431,0.029058,0.943574,0.726180
80,0.022483,0.041431,0.029058,0.943574,0.726180
81,0.022483,0.041431,0.029058,0.943574,0.726180
82,0.021713,0.040535,0.029101,0.939671,0.732382
83,0.021713,0.040535,0.029101,0.939671,0.732382
84,0.021713,0.040535,0.029101,0.939671,0.732382
85,0.021713,0.040535,0.029101,0.939671,0.732382
86,0.021713,0.040535,0.029101,0.939671,0.732382
87,0.021713,0.040535,0.029101,0.939671,0.732382
88,0.021713,0.040535,0.029101,0.939671,0.732382
89,0.024435,0.040161,0.028189,0.939774,0.794103
90,0.024435,0.040161,0.028189,0.939774,0.794103
91,0.024435,0.040161,0.028189,0.939774,0.794103
92,0.024435,0.040161,0.028189,0.939774,0.794103
93,0.024435,0.040161,0.028189,0.939774,0.794103
94,0.024435,0.040161,0.028189,0.939774,0.794103
95,0.024435,0.040161,0.028189,0.939774,0.794103
96,0.024435,0.040161,0.028189,0.939774,0.794103
97,0.024435,0.040161,0.028189,0.939774,0.794103
98,0.024435,0.040161,0.028189,0.939774,0.794103
99,0.024435,0.040161,0.028189,0.939774,0.794103
100,0.024435,0.040161,0.028189,0.939774,0.794103
