generation,gd,igd,igd_plus,hv,spread
1,0.047905,0.066785,0.029173,1.007768,0.719293
2,0.036667,0.046441,0.015929,1.024103,0.787373
3,0.037417,0.045127,0.015929,1.026031,0.776304
4,0.036274,0.044610,0.015929,1.026295,0.806947
5,0.036722,0.041114,0.018032,1.037157,0.828417
6,0.033917,0.039924,0.017420,1.038252,0.825171
7,0.029390,0.036221,0.017944,1.043713,0.866860
8,0.025749,0.033585,0.018562,1.046628,0.739114
9,0.027112,0.033498,0.018562,1.046658,0.831033
10,0.027112,0.033498,0.018562,1.046658,0.831033
11,0.023108,0.032937,0.019854,1.053307,0.883915
12,0.016068,0.031628,0.020338,1.054474,0.893323
13,0.015303,0.030589,0.019499,1.054695,0.906442
14,0.015099,0.030419,0.019499,1.054892,0.904537
15,0.014931,0.030213,0.018126,1.054900,0.920800
16,0.014226,0.029577,0.017098,1.055551,0.949440
17,0.014211,0.029465,0.017153,1.055635,0.951708
18,0.014211,0.029465,0.017153,1.055635,0.951708
19,0.008869,0.028622,0.017595,1.056501,0.962568
20,0.008644,0.028118,0.017066,1.056521,0.985832
21,0.007848,0.026855,0.016794,1.058715,0.984345
22,0.007567,0.026796,0.016735,1.058935,1.007238
23,0.007438,0.026735,0.016735,1.058943,1.056674
24,0.007438,0.026735,0.016735,1.058943,1.056674
25,0.007288,0.025945,0.016640,1.059254,1.057845
26,0.007288,0.025945,0.016640,1.059254,1.057845
27,0.010467,0.025943,0.016185,1.059633,0.999628
28,0.010467,0.025943,0.016185,1.059633,0.999628
29,0.010555,0.025943,0.016185,1.059633,1.010427
30,0.010963,0.025943,0.016185,1.059634,1.019819
31,0.010989,0.025943,0.016185,1.059634,1.032454
32,0.010989,0.025943,0.016185,1.059634,1.032454
33,0.010989,0.025943,0.016185,1.059634,1.032454
34,0.010814,0.025941,0.016185,1.059636,1.045957
35,0.010648,0.025941,0.016185,1.059636,1.058828
36,0.011205,0.025941,0.016185,1.059644,1.067348
37,0.011046,0.025916,0.016185,1.059666,1.078894
38,0.009797,0.025862,0.016697,1.060290,1.120580
39,0.009797,0.025862,0.016697,1.060290,1.120580
40,0.009862,0.025862,0.016697,1.060293,1.120584
41,0.009862,0.025862,0.016697,1.060293,1.120584
42,0.009862,0.025862,0.016697,1.060293,1.120584
43,0.009862,0.025862,0.016697,1.060293,1.120584
44,0.009862,0.025862,0.016697,1.060293,1.120584
45,0.009950,0.025962,0.016697,1.060297,1.120724
46,0.009811,0.025962,0.016697,1.060297,1.131895
47,0.010472,0.025357,0.016185,1.060598,1.087399
48,0.010472,0.025357,0.016185,1.060598,1.087399
49,0.010472,0.025357,0.016185,1.060598,1.087399
50,0.010756,0.025149,0.016196,1.060600,1.065045
51,0.011687,0.025149,0.016196,1.060673,1.071060
52,0.011687,0.025149,0.016196,1.060673,1.071060
53,0.011687,0.025149,0.016196,1.060673,1.071060
54,0.011687,0.025149,0.016196,1.060673,1.071060
55,0.011677,0.025137,0.016196,1.060675,1.071002
56,0.011518,0.024869,0.015930,1.060716,1.074204
57,0.011518,0.024869,0.015930,1.060716,1.074204
58,0.011466,0.022849,0.015930,1.060777,1.038281
59,0.011722,0.022849,0.015930,1.060827,1.030202
60,0.011562,0.022613,0.015930,1.060842,1.042122
61,0.011562,0.022613,0.015930,1.060842,1.042122
62,0.011562,0.022613,0.015930,1.060842,1.042122
63,0.011513,0.022613,0.015930,1.060842,1.052002
64,0.011513,0.022613,0.015930,1.060842,1.052002
65,0.011378,0.022613,0.015930,1.060842,1.061402
66,0.011326,0.022613,0.015845,1.060843,1.066080
67,0.011973,0.022876,0.016844,1.061621,1.063886
68,0.011973,0.022876,0.016844,1.061621,1.063886
69,0.011973,0.022876,0.016844,1.061621,1.063886
70,0.011973,0.022876,0.016844,1.061621,1.063886
71,0.011845,0.022876,0.016844,1.061621,1.072348
72,0.011845,0.022876,0.016844,1.061621,1.072348
73,0.011845,0.022876,0.016844,1.061621,1.072348
74,0.011845,0.022876,0.016844,1.061621,1.072348
75,0.011716,0.022798,0.016844,1.061782,1.078324
76,0.011628,0.022798,0.016844,1.061826,1.081920
77,0.011628,0.022798,0.016844,1.061826,1.081920
78,0.011628,0.022798,0.016844,1.061826,1.081920
79,0.011795,0.022798,0.016844,1.061826,1.100614
80,0.012580,0.022798,0.016844,1.061899,1.103660
81,0.012605,0.023003,0.016844,1.062143,1.116318
82,0.012519,0.022947,0.016844,1.062200,1.101452
83,0.012519,0.022947,0.016844,1.062200,1.101452
84,0.012525,0.022947,0.016844,1.062200,1.101452
85,0.012525,0.022947,0.016844,1.062200,1.101452
86,0.012525,0.022947,0.016844,1.062200,1.101452
87,0.012525,0.022947,0.016844,1.062200,1.101452
88,0.012525,0.022947,0.016844,1.062231,1.101404
89,0.012525,0.022947,0.016844,1.062231,1.101404
90,0.012382,0.022618,0.016514,1.062241,1.095782
91,0.012382,0.022618,0.016514,1.062241,1.095782
92,0.012382,0.022618,0.016514,1.062241,1.095782
93,0.013010,0.022618,0.016514,1.062242,1.116692
94,0.012883,0.022618,0.016514,1.062242,1.127441
95,0.012883,0.022618,0.016514,1.062242,1.127441
96,0.012883,0.022618,0.016514,1.062242,1.127441
97,0.012883,0.022618,0.016514,1.062242,1.127441
98,0.012883,0.022618,0.016514,1.062242,1.127441
99,0.012748,0.022618,0.016514,1.062242,1.137732
100,0.012748,0.022618,0.016514,1.062242,1.137732
