generation,gd,igd,igd_plus,hv,spread
1,0.060466,0.053952,0.011111,0.938269,0.730695
2,0.056375,0.041628,0.000539,0.954164,0.851089
3,0.051749,0.038319,0.000592,0.962779,0.913622
4,0.050508,0.036753,0.000592,0.964457,0.936288
5,0.048274,0.030914,0.000347,0.966555,0.885914
6,0.047343,0.030184,0.000076,0.967223,0.955151
7,0.043488,0.026827,0.000178,0.970238,0.875314
8,0.044457,0.027029,0.000294,0.971976,0.898106
9,0.041185,0.017774,0.001052,1.008846,0.871441
10,0.040743,0.017447,0.001052,1.009033,0.910569
11,0.039970,0.016015,0.001034,1.009789,0.904362
12,0.039938,0.015939,0.001034,1.009820,0.906348
13,0.038194,0.013416,0.001315,1.011975,0.872390
14,0.037396,0.013188,0.001315,1.012162,0.874061
15,0.036300,0.013804,0.001315,1.013669,0.908350
16,0.035851,0.013555,0.001315,1.013819,0.922095
17,0.035982,0.013499,0.001315,1.013848,0.935169
18,0.035403,0.013499,0.001315,1.013849,0.953792
19,0.033020,0.012775,0.001326,1.014845,0.938574
20,0.032278,0.012741,0.001892,1.015898,0.943163
21,0.030619,0.015267,0.001904,1.019723,1.066319
22,0.030619,0.015267,0.001904,1.019723,1.066319
23,0.030619,0.015267,0.001904,1.019723,1.066319
24,0.031206,0.015446,0.001904,1.019737,1.045848
25,0.031206,0.015446,0.001904,1.019737,1.045848
26,0.031206,0.015446,0.001904,1.019737,1.045848
27,0.031820,0.015214,0.002008,1.019780,1.025953
28,0.031820,0.015214,0.002008,1.019780,1.025953
29,0.031820,0.015214,0.002008,1.019780,1.025953
30,0.031150,0.015054,0.001971,1.019811,1.047856
31,0.030521,0.015054,0.001971,1.019811,1.067865
32,0.030521,0.015054,0.001971,1.019811,1.067865
33,0.030521,0.015054,0.001971,1.019811,1.067865
34,0.029937,0.015053,0.001971,1.019818,1.086450
35,0.029937,0.015053,0.001971,1.019818,1.086450
36,0.029388,0.014961,0.001971,1.019820,1.106197
37,0.029919,0.013621,0.001971,1.021996,1.056455
38,0.029888,0.014338,0.003054,1.022425,1.093173
39,0.029433,0.009951,0.003042,1.022932,1.047521
40,0.029432,0.009811,0.003056,1.022948,1.048746
41,0.029062,0.009811,0.003056,1.022997,1.063677
42,0.029357,0.009730,0.003056,1.023535,1.081867
43,0.028895,0.009709,0.003056,1.023634,1.102408
44,0.028895,0.009709,0.003056,1.023634,1.102408
45,0.028895,0.009709,0.003056,1.023634,1.102408
46,0.028895,0.009709,0.003056,1.023634,1.102408
47,0.028895,0.009709,0.003056,1.023634,1.102408
48,0.028895,0.009709,0.003056,1.023634,1.102415
49,0.028512,0.009687,0.003058,1.023655,1.122257
50,0.028124,0.009258,0.002554,1.023679,1.113037
51,0.028605,0.009258,0.002554,1.023679,1.129450
52,0.028205,0.009137,0.002518,1.023708,1.144572
53,0.027788,0.008471,0.001787,1.023761,1.139052
54,0.027515,0.008471,0.001787,1.023764,1.151506
55,0.027515,0.008471,0.001787,1.023764,1.151506
56,0.027169,0.008337,0.001781,1.023859,1.162159
57,0.026533,0.008337,0.001781,1.023860,1.184678
58,0.026533,0.008337,0.001781,1.023860,1.184678
59,0.026225,0.008213,0.001772,1.024238,1.187663
60,0.026225,0.008213,0.001772,1.024238,1.187663
61,0.025971,0.007561,0.000770,1.024256,1.172408
62,0.025971,0.007561,0.000770,1.024256,1.172408
63,0.025971,0.007561,0.000770,1.024256,1.172408
64,0.025971,0.007561,0.000770,1.024256,1.172408
65,0.025681,0.007561,0.000770,1.024256,1.183004
66,0.025616,0.007561,0.000756,1.024262,1.192489
67,0.025650,0.009110,0.000838,1.025137,1.235920
68,0.025087,0.009110,0.000838,1.025137,1.254872
69,0.025087,0.009110,0.000838,1.025137,1.254872
70,0.024541,0.008950,0.000977,1.025163,1.270692
71,0.024289,0.008950,0.000977,1.025163,1.279686
72,0.024289,0.008950,0.000977,1.025163,1.279686
73,0.024060,0.008950,0.000977,1.025163,1.288304
74,0.024056,0.009345,0.001481,1.025248,1.321295
75,0.024056,0.009345,0.001481,1.025248,1.321295
76,0.024056,0.009309,0.001479,1.025249,1.321247
77,0.024056,0.009309,0.001479,1.025249,1.321247
78,0.024056,0.009309,0.001479,1.025249,1.321247
79,0.024056,0.009309,0.001479,1.025249,1.321247
80,0.024056,0.009309,0.001479,1.025249,1.321247
81,0.024297,0.009299,0.001479,1.025287,1.313295
82,0.024785,0.008988,0.001496,1.025722,1.290270
83,0.024785,0.008988,0.001496,1.025722,1.290270
84,0.024253,0.008827,0.001481,1.025725,1.308476
85,0.024253,0.008827,0.001481,1.025725,1.308476
86,0.024249,0.008825,0.001481,1.025746,1.308072
87,0.024249,0.008825,0.001481,1.025746,1.308072
88,0.024249,0.008825,0.001481,1.025746,1.308072
89,0.023997,0.008825,0.001481,1.025746,1.316601
90,0.023997,0.008825,0.001481,1.025746,1.316601
91,0.023751,0.008822,0.001481,1.025747,1.324701
92,0.023751,0.008822,0.001481,1.025747,1.324701
93,0.023751,0.008822,0.001481,1.025747,1.324701
94,0.023751,0.008822,0.001481,1.025747,1.324701
95,0.023751,0.008822,0.001481,1.025747,1.324701
96,0.023751,0.008822,0.001481,1.025747,1.324701
97,0.023751,0.008822,0.001481,1.025747,1.324701
98,0.023751,0.008822,0.001481,1.025747,1.324701
99,0.023751,0.008822,0.001481,1.025747,1.324701
100,0.023751,0.008822,0.001481,1.025747,1.324701
