generation,gd,igd,igd_plus,hv,spread
1,0.162682,0.101874,0.045893,0.961881,0.724063
2,0.079879,0.130586,0.071187,0.888251,0.800398
3,0.077254,0.126178,0.071187,0.894238,0.780768
4,0.075892,0.124321,0.071187,0.916815,0.689728
5,0.075892,0.124321,0.071187,0.916815,0.689728
6,0.071919,0.121129,0.069398,0.935332,0.639234
7,0.070997,0.114209,0.069398,0.940102,0.568440
8,0.066229,0.110235,0.069398,0.941356,0.554917
9,0.066229,0.110235,0.069398,0.941356,0.554917
10,0.065231,0.110235,0.069398,0.941356,0.599750
11,0.064713,0.063646,0.012387,0.943447,0.564590
12,0.064427,0.063285,0.012387,0.943847,0.568021
13,0.064427,0.063285,0.012387,0.943847,0.568021
14,0.064331,0.062024,0.012387,0.948286,0.589415
15,0.062596,0.062024,0.012387,0.948711,0.597924
16,0.056467,0.055921,0.012387,0.954585,0.580515
17,0.056467,0.055921,0.012387,0.954585,0.580515
18,0.056467,0.055921,0.012387,0.954585,0.580515
19,0.056467,0.055921,0.012387,0.954585,0.580515
20,0.055447,0.055189,0.012387,0.956033,0.620116
21,0.055447,0.055189,0.012387,0.956033,0.620116
22,0.054635,0.052966,0.012387,0.957264,0.631667
23,0.050947,0.035481,0.000000,0.965042,0.592016
24,0.050947,0.035481,0.000000,0.965042,0.592016
25,0.049769,0.033797,0.000000,0.966547,0.579971
26,0.049769,0.033797,0.000000,0.966547,0.579971
27,0.049769,0.033797,0.000000,0.966547,0.579971
28,0.049769,0.033797,0.000000,0.966547,0.579971
29,0.049769,0.033797,0.000000,0.966547,0.579971
30,0.049769,0.033797,0.000000,0.966547,0.579971
31,0.049163,0.032387,0.000000,0.960393,0.592990
32,0.049395,0.028950,0.000000,0.961738,0.528168
33,0.049395,0.028950,0.000000,0.961738,0.528168
34,0.049359,0.028892,0.000000,0.961818,0.528359
35,0.049359,0.028892,0.000000,0.961818,0.528359
36,0.049359,0.028892,0.000000,0.961818,0.528359
37,0.049359,0.028892,0.000000,0.961818,0.528359
38,0.049359,0.028892,0.000000,0.961818,0.528359
39,0.049359,0.028892,0.000000,0.961818,0.528359
40,0.049359,0.028892,0.000000,0.961818,0.528359
41,0.049359,0.028892,0.000000,0.961818,0.528359
42,0.049359,0.028892,0.000000,0.961818,0.528359
43,0.045972,0.028197,0.000000,0.962333,0.492694
44,0.045972,0.028197,0.000000,0.962333,0.492694
45,0.045972,0.028197,0.000000,0.962333,0.492694
46,0.045972,0.028197,0.000000,0.962333,0.492694
47,0.045972,0.028197,0.000000,0.962333,0.492694
48,0.045972,0.028197,0.000000,0.962333,0.492694
49,0.045972,0.028197,0.000000,0.962333,0.492694
50,0.045972,0.028197,0.000000,0.962333,0.492694
51,0.045271,0.026786,0.000000,0.964299,0.508553
52,0.044907,0.025461,0.000000,0.965033,0.514691
53,0.044671,0.025173,0.000000,0.965353,0.517152
54,0.044671,0.025173,0.000000,0.965353,0.517152
55,0.044671,0.025173,0.000000,0.965353,0.517152
56,0.044538,0.024510,0.000000,0.966276,0.523564
57,0.045016,0.023620,0.003830,0.968234,0.525563
58,0.045016,0.023620,0.003830,0.968234,0.525563
59,0.042828,0.023620,0.003830,0.968234,0.618197
60,0.042828,0.023620,0.003830,0.968234,0.618197
61,0.042828,0.023620,0.003830,0.968234,0.618197
62,0.042828,0.023620,0.003830,0.968234,0.618197
63,0.042828,0.023620,0.003830,0.968234,0.618197
64,0.042828,0.023620,0.003830,0.968234,0.618197
65,0.042828,0.023620,0.003830,0.968234,0.618197
66,0.042828,0.023620,0.003830,0.968234,0.618197
67,0.042152,0.022439,0.003830,0.970366,0.615433
68,0.041028,0.022439,0.003830,0.970366,0.654031
69,0.041028,0.022439,0.003830,0.970366,0.654031
70,0.041028,0.022439,0.003830,0.970366,0.654031
71,0.041028,0.022439,0.003830,0.970366,0.654031
72,0.041028,0.022439,0.003830,0.970366,0.654031
73,0.041028,0.022439,0.003830,0.970366,0.654031
74,0.041028,0.022439,0.003830,0.970366,0.654031
75,0.041028,0.022439,0.003830,0.970366,0.654031
76,0.041028,0.022439,0.003830,0.970366,0.654031
77,0.041028,0.022439,0.003830,0.970366,0.654031
78,0.041028,0.022439,0.003830,0.970366,0.654031
79,0.041028,0.022439,0.003830,0.970366,0.654031
80,0.041028,0.022439,0.003830,0.970366,0.654031
81,0.041028,0.022439,0.003830,0.970366,0.654031
82,0.041028,0.022439,0.003830,0.970366,0.654031
83,0.041028,0.022439,0.003830,0.970366,0.654031
84,0.041028,0.022439,0.003830,0.970366,0.654031
85,0.041028,0.022439,0.003830,0.970366,0.654031
86,0.041028,0.022439,0.003830,0.970366,0.654031
87,0.041028,0.022439,0.003830,0.970366,0.654031
88,0.041028,0.022439,0.003830,0.970366,0.654031
89,0.041028,0.022439,0.003830,0.970366,0.654031
90,0.040739,0.022036,0.003830,0.970928,0.652082
91,0.041181,0.021746,0.003830,0.971019,0.674905
92,0.041181,0.021746,0.003830,0.971019,0.674905
93,0.041181,0.021746,0.003830,0.971019,0.674905
94,0.041181,0.021746,0.003830,0.971019,0.674905
95,0.041181,0.021746,0.003830,0.971019,0.674905
96,0.041181,0.021746,0.003830,0.971019,0.674905
97,0.041181,0.021746,0.003830,0.971019,0.674905
98,0.041181,0.021746,0.003830,0.971019,0.674905
99,0.041181,0.021746,0.003830,0.971019,0.674905
100,0.040263,0.021746,0.003830,0.971019,0.721529
