generation,gd,igd,igd_plus,hv,spread
1,0.026547,0.061356,0.043368,1.118325,0.824904
2,0.024366,0.038610,0.024189,1.125706,1.109753
3,0.018902,0.041148,0.024386,1.128197,1.157627
4,0.018902,0.041148,0.024386,1.128197,1.157627
5,0.019495,0.023382,0.000311,1.130837,1.204391
6,0.018958,0.023104,0.000301,1.130951,1.229540
7,0.019419,0.024433,0.000743,1.131502,1.205505
8,0.019235,0.024100,0.000743,1.131883,1.232486
9,0.018551,0.024838,0.000857,1.131983,1.232473
10,0.018502,0.022331,0.000742,1.132347,1.183467
11,0.041372,0.019165,0.000674,1.142509,1.156795
12,0.040432,0.019115,0.000677,1.142542,1.173026
13,0.037820,0.019032,0.000663,1.142606,1.223474
14,0.036711,0.017921,0.000663,1.155645,1.228017
15,0.036711,0.017921,0.000663,1.155645,1.228017
16,0.036711,0.017921,0.000663,1.155645,1.228017
17,0.036711,0.017921,0.000663,1.155645,1.228017
18,0.036047,0.016587,0.000626,1.155652,1.232882
19,0.035374,0.016410,0.000604,1.155676,1.244992
20,0.013949,0.018330,0.000742,1.146239,1.260005
21,0.013955,0.018371,0.000742,1.146711,1.226804
22,0.013389,0.018371,0.000742,1.146713,1.251092
23,0.019926,0.021517,0.004116,1.147400,1.233517
24,0.019568,0.021517,0.004116,1.147400,1.249710
25,0.019236,0.021222,0.003673,1.147404,1.261846
26,0.019491,0.021112,0.003804,1.147517,1.245120
27,0.019117,0.017987,0.003812,1.147598,1.227380
28,0.019105,0.017889,0.003812,1.147615,1.227675
29,0.018809,0.017714,0.003812,1.147616,1.243880
30,0.018496,0.017714,0.003812,1.147616,1.258961
31,0.018496,0.017714,0.003812,1.147616,1.258961
32,0.018496,0.017714,0.003812,1.147616,1.258961
33,0.018452,0.017605,0.003812,1.147622,1.259073
34,0.018495,0.017849,0.003812,1.148033,1.239284
35,0.018805,0.017849,0.003812,1.148033,1.222962
36,0.020261,0.017132,0.003812,1.148252,1.227503
37,0.019937,0.017132,0.003812,1.148252,1.242482
38,0.019605,0.017076,0.003802,1.148269,1.256540
39,0.019605,0.017076,0.003802,1.148269,1.256540
40,0.018724,0.016664,0.003743,1.148455,1.291239
41,0.021238,0.016664,0.003743,1.148461,1.295792
42,0.022492,0.013591,0.000861,1.148538,1.208300
43,0.022492,0.013591,0.000861,1.148538,1.208300
44,0.022856,0.013444,0.000861,1.148799,1.192933
45,0.022856,0.013444,0.000861,1.148799,1.192933
46,0.022856,0.013444,0.000861,1.148799,1.192933
47,0.022852,0.013195,0.001024,1.148871,1.190425
48,0.022468,0.012800,0.001024,1.148924,1.205629
49,0.022468,0.012800,0.001024,1.148924,1.205629
50,0.022468,0.012800,0.001024,1.148924,1.205629
51,0.022468,0.012800,0.001024,1.148924,1.205629
52,0.023635,0.012800,0.001031,1.148964,1.160243
53,0.023635,0.012800,0.001031,1.148964,1.160243
54,0.023210,0.012800,0.001003,1.148964,1.174027
55,0.022806,0.011405,0.000892,1.148975,1.187018
56,0.022806,0.011405,0.000892,1.148975,1.187018
57,0.022424,0.011405,0.000887,1.148976,1.200880
58,0.022423,0.011402,0.000887,1.148976,1.200893
59,0.022384,0.011444,0.000915,1.148999,1.210319
60,0.022384,0.011444,0.000915,1.148999,1.210319
61,0.022023,0.011444,0.000915,1.148999,1.224043
62,0.021676,0.011444,0.000915,1.148999,1.236882
63,0.021676,0.011444,0.000915,1.148999,1.236882
64,0.021676,0.011444,0.000915,1.148999,1.236882
65,0.021325,0.011442,0.000917,1.149010,1.248689
66,0.021325,0.011442,0.000917,1.149010,1.248689
67,0.021706,0.011442,0.000917,1.149057,1.249969
68,0.021706,0.011442,0.000917,1.149057,1.249969
69,0.021412,0.011442,0.000917,1.149057,1.258837
70,0.021412,0.011442,0.000917,1.149057,1.258837
71,0.021412,0.011442,0.000917,1.149057,1.258837
72,0.021412,0.011442,0.000917,1.149057,1.258837
73,0.021412,0.011442,0.000917,1.149057,1.258837
74,0.021718,0.011963,0.001605,1.149224,1.254388
75,0.021718,0.011963,0.001605,1.149224,1.254388
76,0.021718,0.011963,0.001605,1.149224,1.254388
77,0.021435,0.011812,0.001600,1.149270,1.263120
78,0.021435,0.011812,0.001600,1.149270,1.263120
79,0.021435,0.011812,0.001600,1.149270,1.263120
80,0.021435,0.011812,0.001600,1.149270,1.263120
81,0.021790,0.011812,0.001600,1.149270,1.271481
82,0.021790,0.011812,0.001600,1.149270,1.271481
83,0.021790,0.011812,0.001600,1.149271,1.271482
84,0.021790,0.011812,0.001600,1.149271,1.271482
85,0.021790,0.011812,0.001600,1.149271,1.271482
86,0.021790,0.011812,0.001600,1.149271,1.271482
87,0.021790,0.011812,0.001600,1.149271,1.271482
88,0.021790,0.011812,0.001600,1.149271,1.271482
89,0.021496,0.011812,0.001600,1.149271,1.280010
90,0.021496,0.011812,0.001600,1.149271,1.280010
91,0.021496,0.011812,0.001600,1.149271,1.280010
92,0.021496,0.011812,0.001600,1.149271,1.280010
93,0.021496,0.011812,0.001600,1.149271,1.280010
94,0.021496,0.011812,0.001600,1.149271,1.280010
95,0.021496,0.011812,0.001600,1.149271,1.280010
96,0.021496,0.011812,0.001600,1.149271,1.280010
97,0.021302,0.011284,0.001594,1.149323,1.275926
98,0.021302,0.011284,0.001594,1.149323,1.275926
99,0.021302,0.011284,0.001594,1.149323,1.275926
100,0.021028,0.011284,0.001594,1.149323,1.284952
