generation,gd,igd,igd_plus,hv,spread
1,0.013379,0.045851,0.031783,1.142147,0.864377
2,0.011370,0.025863,0.012610,1.146811,1.149281
3,0.011108,0.025695,0.012610,1.148041,1.149446
4,0.010270,0.025193,0.012774,1.148214,1.133382
5,0.013009,0.026438,0.012774,1.148763,1.156044
6,0.013273,0.024600,0.012600,1.149807,1.115802
7,0.012682,0.026950,0.012913,1.150335,1.165636
8,0.013032,0.026093,0.012495,1.150416,1.164616
9,0.011648,0.024440,0.012565,1.151264,1.118721
10,0.011304,0.022213,0.012565,1.151294,1.087886
11,0.011118,0.022213,0.012565,1.151294,1.096736
12,0.011391,0.022140,0.012598,1.151383,1.080573
13,0.011016,0.022091,0.012598,1.151426,1.094435
14,0.010912,0.022091,0.012598,1.151447,1.096343
15,0.010912,0.022091,0.012598,1.151447,1.096343
16,0.010912,0.022091,0.012598,1.151447,1.096343
17,0.010218,0.022983,0.014049,1.151644,1.116083
18,0.010622,0.022983,0.014049,1.151649,1.125573
19,0.011427,0.022983,0.014049,1.151732,1.117111
20,0.012894,0.012228,0.000951,1.152114,1.201709
21,0.012679,0.012039,0.000941,1.152115,1.207653
22,0.013156,0.011978,0.000950,1.152261,1.201497
23,0.012773,0.010986,0.000264,1.153060,1.186765
24,0.012753,0.010800,0.000264,1.153120,1.185260
25,0.008783,0.007652,0.000239,1.153619,1.181283
26,0.007822,0.005560,0.000180,1.153729,1.201590
27,0.007973,0.005434,0.000252,1.153839,1.181189
28,0.007834,0.005281,0.000229,1.153895,1.189790
29,0.007834,0.005281,0.000229,1.153895,1.189790
30,0.008111,0.005272,0.000229,1.153896,1.199597
31,0.008111,0.005272,0.000229,1.153896,1.199597
32,0.013558,0.005272,0.000229,1.153974,1.164013
33,0.013345,0.005069,0.000187,1.154137,1.170359
34,0.013170,0.005032,0.000187,1.154148,1.178306
35,0.012984,0.005032,0.000187,1.154148,1.185843
36,0.012941,0.005718,0.000187,1.154242,1.216467
37,0.012941,0.005718,0.000187,1.154242,1.216467
38,0.012855,0.005661,0.000211,1.154322,1.198863
39,0.012855,0.005661,0.000211,1.154322,1.198863
40,0.012855,0.005661,0.000211,1.154322,1.198863
41,0.012855,0.005661,0.000211,1.154322,1.198863
42,0.012855,0.005661,0.000211,1.154322,1.198863
43,0.012836,0.005629,0.000211,1.154328,1.200486
44,0.012826,0.005535,0.000211,1.156862,1.199709
45,0.012826,0.005535,0.000211,1.156862,1.199709
46,0.012826,0.005535,0.000211,1.156862,1.199709
47,0.013314,0.005535,0.000211,1.156904,1.208265
48,0.013314,0.005535,0.000211,1.156904,1.208265
49,0.013314,0.005535,0.000211,1.156904,1.208265
50,0.013314,0.005535,0.000211,1.156904,1.208265
51,0.013314,0.005535,0.000211,1.156904,1.208265
52,0.013314,0.005535,0.000211,1.156904,1.208265
53,0.013314,0.005543,0.000211,1.156911,1.208342
54,0.013197,0.005543,0.000211,1.156915,1.216366
55,0.013008,0.005532,0.000187,1.156917,1.223649
56,0.013295,0.005566,0.000187,1.156968,1.206889
57,0.013292,0.005518,0.000187,1.156992,1.206923
58,0.013292,0.005518,0.000187,1.156992,1.206923
59,0.012956,0.005436,0.000181,1.156996,1.222485
60,0.012956,0.005436,0.000181,1.156996,1.222486
61,0.012956,0.005436,0.000181,1.156996,1.222486
62,0.012965,0.008089,0.003396,1.156956,1.195092
63,0.013187,0.007954,0.003423,1.156987,1.188062
64,0.013187,0.007954,0.003423,1.156987,1.188062
65,0.013006,0.007869,0.003457,1.157049,1.193381
66,0.013006,0.007869,0.003457,1.157049,1.193381
67,0.013229,0.008056,0.003468,1.157112,1.192080
68,0.012967,0.007338,0.003442,1.157177,1.152680
69,0.012967,0.007338,0.003442,1.157177,1.152680
70,0.012967,0.007338,0.003442,1.157177,1.152680
71,0.012967,0.007338,0.003442,1.157177,1.152680
72,0.012784,0.007338,0.003442,1.157177,1.161395
73,0.012784,0.007338,0.003442,1.157177,1.161395
74,0.012855,0.007338,0.003442,1.157199,1.161459
75,0.012855,0.007338,0.003442,1.157199,1.161459
76,0.012855,0.007338,0.003442,1.157199,1.161459
77,0.013401,0.007784,0.003453,1.157262,1.145263
78,0.013208,0.007784,0.003453,1.157262,1.155106
79,0.013208,0.007784,0.003453,1.157262,1.155106
80,0.013451,0.007784,0.003453,1.157262,1.164387
81,0.013451,0.007784,0.003453,1.157262,1.164387
82,0.013451,0.007784,0.003453,1.157262,1.164387
83,0.013451,0.007784,0.003453,1.157262,1.164387
84,0.013451,0.007784,0.003453,1.157262,1.164387
85,0.013451,0.007784,0.003453,1.157262,1.164387
86,0.013268,0.007693,0.003334,1.157271,1.172155
87,0.013268,0.007693,0.003334,1.157271,1.172155
88,0.013268,0.007693,0.003334,1.157271,1.172155
89,0.013268,0.007693,0.003334,1.157271,1.172155
90,0.013103,0.007105,0.003323,1.157279,1.164615
91,0.012934,0.007068,0.003315,1.157279,1.172463
92,0.012771,0.006997,0.003306,1.157374,1.179070
93,0.012771,0.006997,0.003306,1.157374,1.179070
94,0.012771,0.006997,0.003306,1.157374,1.179070
95,0.006894,0.006735,0.003306,1.158311,1.223540
96,0.006894,0.006735,0.003306,1.158311,1.223540
97,0.008255,0.006735,0.003306,1.158314,1.223263
98,0.008255,0.006735,0.003306,1.158314,1.223263
99,0.008255,0.006735,0.003306,1.158314,1.223263
100,0.008202,0.006735,0.003306,1.158314,1.236744
