generation,gd,igd,igd_plus,hv,spread
1,0.037828,0.088548,0.064182,0.930344,0.727654
2,0.037798,0.049066,0.027576,0.951593,0.932436
3,0.044026,0.052267,0.027576,0.955246,0.903547
4,0.032546,0.050869,0.028091,0.956413,0.922651
5,0.057185,0.046787,0.000229,0.965377,0.719754
6,0.072878,0.033583,0.000244,0.967649,0.709785
7,0.074298,0.033583,0.000244,0.967709,0.730900
8,0.032083,0.026131,0.000288,1.007105,0.920065
9,0.032083,0.026131,0.000288,1.007105,0.920065
10,0.031022,0.026086,0.000288,1.007279,0.972449
11,0.031022,0.026086,0.000288,1.007279,0.972449
12,0.030317,0.023197,0.000273,1.007487,0.959452
13,0.030159,0.023053,0.000273,1.007905,0.963034
14,0.029154,0.022607,0.000273,1.007972,0.994107
15,0.027684,0.022594,0.000273,1.007974,1.049016
16,0.027684,0.022594,0.000273,1.007974,1.049016
17,0.027586,0.022560,0.000273,1.008034,1.049885
18,0.027583,0.022550,0.000273,1.008059,1.049903
19,0.027583,0.022550,0.000273,1.008059,1.049903
20,0.027386,0.023959,0.000349,1.012531,1.096987
21,0.026572,0.023903,0.000369,1.012540,1.123847
22,0.026572,0.023903,0.000369,1.012540,1.123847
23,0.026462,0.023294,0.001369,1.013771,1.118501
24,0.025056,0.023026,0.001369,1.013875,1.173039
25,0.025067,0.025013,0.002970,1.014481,1.205069
26,0.025728,0.024789,0.002970,1.014524,1.135451
27,0.025133,0.024728,0.002970,1.014545,1.171427
28,0.024531,0.024728,0.002970,1.014545,1.203574
29,0.024531,0.024728,0.002970,1.014545,1.203574
30,0.024344,0.024728,0.002970,1.014558,1.258016
31,0.024344,0.024728,0.002970,1.014558,1.258016
32,0.024344,0.024728,0.002970,1.014558,1.258016
33,0.024344,0.024728,0.002970,1.014558,1.258016
34,0.023848,0.016079,0.002970,1.014785,1.193380
35,0.023697,0.013243,0.002970,1.015037,1.139614
36,0.023697,0.013243,0.002970,1.015037,1.139614
37,0.023697,0.013243,0.002970,1.015037,1.139614
38,0.023697,0.013243,0.002970,1.015037,1.139614
39,0.023697,0.013243,0.002970,1.015037,1.139614
40,0.024213,0.013107,0.002973,1.015054,1.110061
41,0.024213,0.013107,0.002973,1.015054,1.110061
42,0.023241,0.012065,0.001781,1.015682,1.151093
43,0.023300,0.011815,0.001796,1.015741,1.094377
44,0.023292,0.011790,0.001796,1.015745,1.094393
45,0.023292,0.011790,0.001796,1.015745,1.094393
46,0.022867,0.011790,0.001796,1.015745,1.122504
47,0.022867,0.011790,0.001796,1.015745,1.122504
48,0.022867,0.011790,0.001796,1.015745,1.122504
49,0.022867,0.011790,0.001796,1.015745,1.122504
50,0.022444,0.011790,0.001796,1.015745,1.149916
51,0.022444,0.011790,0.001796,1.015745,1.149916
52,0.022444,0.011790,0.001796,1.015745,1.149916
53,0.022444,0.011790,0.001796,1.015745,1.149916
54,0.022131,0.014543,0.001796,1.016253,1.225871
55,0.022131,0.014543,0.001796,1.016253,1.225871
56,0.022131,0.014543,0.001796,1.016253,1.225871
57,0.022131,0.014543,0.001796,1.016253,1.225871
58,0.022131,0.014543,0.001796,1.016253,1.225871
59,0.027982,0.014543,0.001796,1.016253,1.250999
60,0.027982,0.014543,0.001796,1.016253,1.250999
61,0.027298,0.013723,0.001792,1.017175,1.267712
62,0.027298,0.013723,0.001792,1.017175,1.267712
63,0.027298,0.013723,0.001792,1.017175,1.267712
64,0.026848,0.013723,0.001792,1.017176,1.289020
65,0.026848,0.013723,0.001792,1.017176,1.289020
66,0.026848,0.013723,0.001792,1.017176,1.289020
67,0.026364,0.013723,0.001792,1.017176,1.308873
68,0.026364,0.013723,0.001792,1.017176,1.308873
69,0.026364,0.013723,0.001792,1.017176,1.308873
70,0.026696,0.012967,0.001883,1.017418,1.291428
71,0.026696,0.012967,0.001883,1.017418,1.291428
72,0.026696,0.012967,0.001883,1.017418,1.291428
73,0.026696,0.012967,0.001883,1.017418,1.291428
74,0.026215,0.012875,0.001845,1.017514,1.309818
75,0.026215,0.012875,0.001845,1.017514,1.309818
76,0.030217,0.012875,0.001845,1.017643,1.324458
77,0.030217,0.012875,0.001845,1.017643,1.324458
78,0.030217,0.012875,0.001845,1.017643,1.324458
79,0.030217,0.012875,0.001845,1.017643,1.324458
80,0.030217,0.012875,0.001845,1.017643,1.324458
81,0.030217,0.012875,0.001845,1.017643,1.324458
82,0.029746,0.012834,0.001845,1.017645,1.339955
83,0.029407,0.012834,0.001845,1.017693,1.346261
84,0.029407,0.012834,0.001845,1.017693,1.346261
85,0.029407,0.012834,0.001845,1.017693,1.346261
86,0.028943,0.010418,0.000238,1.017749,1.297735
87,0.028915,0.010418,0.000238,1.017760,1.299021
88,0.028915,0.010418,0.000238,1.017760,1.299021
89,0.028474,0.010381,0.000223,1.017763,1.315078
90,0.028474,0.010381,0.000223,1.017763,1.315078
91,0.028474,0.010381,0.000223,1.017763,1.315078
92,0.028474,0.010381,0.000223,1.017763,1.315078
93,0.028474,0.010381,0.000223,1.017763,1.315078
94,0.028474,0.010381,0.000223,1.017763,1.315078
95,0.028081,0.010290,0.000131,1.017775,1.322379
96,0.028081,0.010290,0.000131,1.017775,1.322379
97,0.028801,0.010093,0.000131,1.017904,1.294571
98,0.027997,0.010093,0.000131,1.017904,1.325712
99,0.027997,0.010093,0.000131,1.017904,1.325712
100,0.027997,0.010093,0.000131,1.017904,1.325712
