generation,gd,igd,igd_plus,hv,spread
1,0.097999,0.074795,0.001840,0.911208,0.623000
2,0.045452,0.060439,0.006523,0.924099,0.781954
3,0.037322,0.058722,0.007855,0.928368,1.191142
4,0.034775,0.039755,0.005236,0.960551,1.189014
5,0.027510,0.027197,0.002632,0.982969,1.111697
6,0.029322,0.027401,0.002945,0.973924,1.224045
7,0.027529,0.026903,0.002945,0.974970,1.224724
8,0.028605,0.027023,0.002945,0.974982,1.224710
9,0.031776,0.024338,0.001901,0.980178,1.022548
10,0.031273,0.023631,0.001913,0.980288,1.162392
11,0.025859,0.020263,0.001914,0.984893,1.281626
12,0.022895,0.020263,0.001721,0.985027,1.242413
13,0.020404,0.019607,0.001953,0.986217,1.239853
14,0.018980,0.018139,0.001704,0.988712,1.264180
15,0.018980,0.017135,0.001642,0.992023,1.227802
16,0.013890,0.015616,0.002506,0.995012,1.220123
17,0.014746,0.014187,0.001270,0.997810,1.194983
18,0.014613,0.013874,0.001306,0.998774,1.209517
19,0.016614,0.013874,0.001306,0.998774,1.209517
20,0.016614,0.013874,0.001306,0.998774,1.209517
21,0.016614,0.013874,0.001306,0.998774,1.209517
22,0.015536,0.013283,0.001306,0.999444,1.221826
23,0.015562,0.013283,0.001306,0.999444,1.221826
24,0.015559,0.013002,0.001306,0.999710,1.226808
25,0.015559,0.013002,0.001306,0.999710,1.226808
26,0.015559,0.013002,0.001306,0.999710,1.226808
27,0.015559,0.012793,0.001295,0.999723,1.226733
28,0.015559,0.012793,0.001295,0.999723,1.226733
29,0.010865,0.011635,0.001404,1.000235,1.238325
30,0.010865,0.008949,0.001233,1.001205,1.197522
31,0.010222,0.007742,0.001777,1.001965,1.180663
32,0.010273,0.006974,0.001606,1.002036,1.140061
33,0.011352,0.006974,0.001497,1.002197,1.099330
34,0.011413,0.007192,0.001508,1.002169,1.099347
35,0.011435,0.007259,0.001509,1.002186,1.099352
36,0.011487,0.005448,0.000981,1.003341,1.027038
37,0.011487,0.005501,0.000984,1.003343,1.026996
38,0.011574,0.005705,0.000996,1.003331,1.027039
39,0.012588,0.005815,0.000996,1.003329,1.027089
40,0.012588,0.005815,0.000996,1.003329,1.027089
41,0.012353,0.005705,0.000996,1.003331,1.027039
42,0.012353,0.005705,0.000996,1.003331,1.027039
43,0.012353,0.005705,0.000996,1.003331,1.027039
44,0.012353,0.005705,0.000996,1.003331,1.027039
45,0.012259,0.005584,0.000996,1.003504,1.026835
46,0.012259,0.005584,0.000996,1.003504,1.026835
47,0.012496,0.005584,0.000996,1.003504,1.026835
48,0.012496,0.005584,0.000996,1.003504,1.026835
49,0.012567,0.005039,0.000968,1.004733,0.999097
50,0.012002,0.004919,0.000968,1.004717,1.003246
51,0.012322,0.004919,0.000968,1.004745,0.984217
52,0.012322,0.004919,0.000968,1.004745,0.984217
53,0.012225,0.004780,0.000968,1.004840,0.982342
54,0.012548,0.004780,0.000968,1.004840,0.982342
55,0.012548,0.004181,0.000649,1.005043,0.954678
56,0.012548,0.004181,0.000649,1.005043,0.954678
57,0.012548,0.003852,0.000456,1.005840,0.939714
58,0.012548,0.003852,0.000456,1.005840,0.939714
59,0.012527,0.003778,0.000456,1.005841,0.938616
60,0.012527,0.003778,0.000456,1.005841,0.938616
61,0.012527,0.003778,0.000456,1.005841,0.938616
62,0.012527,0.003778,0.000456,1.005841,0.938616
63,0.012518,0.003550,0.000452,1.005847,0.938617
64,0.012518,0.003550,0.000452,1.005847,0.938617
65,0.012518,0.003550,0.000452,1.005847,0.938617
66,0.012506,0.003347,0.000462,1.005875,0.938463
67,0.012506,0.003347,0.000462,1.005875,0.938463
68,0.012506,0.003347,0.000462,1.005875,0.938463
69,0.012506,0.003347,0.000462,1.005875,0.938463
70,0.012506,0.003347,0.000462,1.005875,0.938463
71,0.012506,0.003347,0.000462,1.005875,0.938463
72,0.012506,0.003347,0.000462,1.005875,0.938463
73,0.012506,0.003347,0.000462,1.005875,0.938463
74,0.012506,0.002745,0.000132,1.005901,0.911054
75,0.012506,0.002745,0.000132,1.005901,0.911054
76,0.012506,0.002745,0.000132,1.005901,0.911054
77,0.012506,0.002745,0.000132,1.005901,0.911054
78,0.012506,0.002745,0.000132,1.005901,0.911054
79,0.012506,0.002745,0.000132,1.005901,0.911054
80,0.012506,0.002745,0.000132,1.005901,0.911054
81,0.012506,0.002745,0.000132,1.005901,0.911054
82,0.012506,0.002745,0.000132,1.005901,0.911054
83,0.012506,0.002745,0.000132,1.005901,0.911054
84,0.012485,0.002822,0.000149,1.005940,0.941792
85,0.010280,0.002590,0.000149,1.006782,0.972482
86,0.010280,0.002590,0.000149,1.006782,0.972482
87,0.004689,0.002395,0.000149,1.006865,1.004284
88,0.004689,0.002395,0.000149,1.006865,1.004284
89,0.004607,0.002283,0.000149,1.007030,1.004245
90,0.004616,0.002383,0.000140,1.006994,1.004155
91,0.004616,0.002383,0.000140,1.006994,1.004155
92,0.004616,0.002383,0.000140,1.006994,1.004155
93,0.004640,0.002474,0.000141,1.006992,1.004169
94,0.004640,0.002474,0.000141,1.006992,1.004169
95,0.004577,0.002336,0.000157,1.007002,1.004212
96,0.004577,0.002336,0.000157,1.007002,1.004212
97,0.004577,0.002336,0.000157,1.007002,1.004212
98,0.004577,0.002336,0.000157,1.007002,1.004212
99,0.004577,0.002336,0.000157,1.007002,1.004212
100,0.004577,0.002336,0.000157,1.007002,1.004212
