generation,gd,igd,igd_plus,hv,spread
1,0.113705,0.116362,0.027665,0.918871,0.662787
2,0.135465,0.113686,0.028414,0.923217,0.612726
3,0.055878,0.071899,0.029184,0.980413,0.559241
4,0.059251,0.071899,0.029184,0.981671,0.672169
5,0.057756,0.071634,0.025742,0.990476,0.750229
6,0.051569,0.067617,0.025742,0.993781,0.842048
7,0.038442,0.063242,0.026198,1.000773,0.935453
8,0.027229,0.025871,0.002564,1.020964,1.041885
9,0.024961,0.023443,0.002564,1.022756,1.162118
10,0.023641,0.021409,0.002564,1.026274,1.241337
11,0.036031,0.021409,0.002564,1.029419,1.297805
12,0.044449,0.018605,0.002564,1.030786,1.306005
13,0.054414,0.018605,0.002564,1.030786,1.408024
14,0.065905,0.017592,0.002564,1.032542,1.460469
15,0.040106,0.017592,0.002564,1.032542,1.460469
16,0.040744,0.015904,0.002564,1.033360,1.460704
17,0.041441,0.015904,0.002564,1.033360,1.460704
18,0.041696,0.014250,0.002564,1.034077,1.460846
19,0.046857,0.010377,0.002564,1.036658,1.492147
20,0.040281,0.010377,0.002564,1.036658,1.500831
21,0.040801,0.010377,0.002564,1.036658,1.500831
22,0.041020,0.009399,0.002564,1.037083,1.501748
23,0.042202,0.009399,0.002564,1.037083,1.501748
24,0.008633,0.007161,0.002564,1.041682,0.941550
25,0.007638,0.007161,0.002564,1.041682,1.125626
26,0.007183,0.007161,0.002564,1.041682,1.209419
27,0.008303,0.007161,0.002564,1.041682,1.314325
28,0.007762,0.007161,0.002564,1.041682,1.440073
29,0.007638,0.007161,0.002564,1.041682,1.506697
30,0.007690,0.007161,0.002564,1.041682,1.542380
31,0.007690,0.007161,0.002564,1.041682,1.542380
32,0.008370,0.007161,0.002564,1.041682,1.542380
33,0.008370,0.007161,0.002564,1.041682,1.542380
34,0.003624,0.005696,0.002564,1.041876,1.543141
35,0.003624,0.005696,0.002564,1.041876,1.543141
36,0.003624,0.005696,0.002564,1.041876,1.543141
37,0.003624,0.005696,0.002564,1.041876,1.543141
38,0.003441,0.005600,0.002564,1.041697,1.543546
39,0.004866,0.005600,0.002564,1.041697,1.543546
40,0.005960,0.005600,0.002564,1.041697,1.543546
41,0.005960,0.005600,0.002564,1.041697,1.543546
42,0.006882,0.005600,0.002564,1.041697,1.543546
43,0.006882,0.005600,0.002564,1.041697,1.543546
44,0.007694,0.005600,0.002564,1.041697,1.543546
45,0.007694,0.005600,0.002564,1.041697,1.543546
46,0.008429,0.005600,0.002564,1.041697,1.543546
47,0.009104,0.005600,0.002564,1.041697,1.543546
48,0.000000,0.003777,0.002564,1.038332,1.542800
49,0.000000,0.003777,0.002564,1.038332,1.551303
50,0.000000,0.003777,0.002564,1.038332,1.551303
51,0.000000,0.003777,0.002564,1.038332,1.551303
52,0.000000,0.003777,0.002564,1.038332,1.551303
53,0.000000,0.003777,0.002564,1.038332,1.551303
54,0.000000,0.003777,0.002564,1.038332,1.551303
55,0.000000,0.003777,0.002564,1.038332,1.551303
56,0.000000,0.003777,0.002564,1.038332,1.551303
57,0.000000,0.003777,0.002564,1.038332,1.551303
58,0.000000,0.003777,0.002564,1.038332,1.551303
59,0.000000,0.003777,0.002564,1.038332,1.551303
60,0.000096,0.000052,0.000000,1.039511,1.510498
61,0.000096,0.000052,0.000000,1.039511,1.510498
62,0.000136,0.000052,0.000000,1.039511,1.510498
63,0.000136,0.000052,0.000000,1.039511,1.510498
64,0.000136,0.000052,0.000000,1.039511,1.510498
65,0.000136,0.000052,0.000000,1.039511,1.510498
66,0.000136,0.000052,0.000000,1.039511,1.510498
67,0.000136,0.000052,0.000000,1.039511,1.510498
68,0.000136,0.000052,0.000000,1.039511,1.510498
69,0.000136,0.000052,0.000000,1.039511,1.510498
70,0.000136,0.000052,0.000000,1.039511,1.510498
71,0.000136,0.000052,0.000000,1.039511,1.510498
72,0.000136,0.000052,0.000000,1.039511,1.510498
73,0.000136,0.000052,0.000000,1.039511,1.510498
74,0.000136,0.000052,0.000000,1.039511,1.510498
75,0.000136,0.000052,0.000000,1.039511,1.510498
76,0.000136,0.000052,0.000000,1.039511,1.510498
77,0.000000,0.000000,0.000000,1.039533,1.510497
78,0.000000,0.000000,0.000000,1.039533,1.510497
79,0.000000,0.000000,0.000000,1.039533,1.510497
80,0.000000,0.000000,0.000000,1.039533,1.510497
81,0.000000,0.000000,0.000000,1.039533,1.510497
82,0.000000,0.000000,0.000000,1.039533,1.510497
83,0.000000,0.000000,0.000000,1.039533,1.510497
84,0.000000,0.000000,0.000000,1.039533,1.510497
85,0.000000,0.000000,0.000000,1.039533,1.510497
86,0.000000,0.000000,0.000000,1.039533,1.510497
87,0.000000,0.000000,0.000000,1.039533,1.510497
88,0.000000,0.000000,0.000000,1.039533,1.510497
89,0.000000,0.000000,0.000000,1.039533,1.510497
90,0.000000,0.000000,0.000000,1.039533,1.510497
91,0.000000,0.000000,0.000000,1.039533,1.510497
92,0.000000,0.000000,0.000000,1.039533,1.510497
93,0.000000,0.000000,0.000000,1.039533,1.510497
94,0.000000,0.000000,0.000000,1.039533,1.510497
95,0.000000,0.000000,0.000000,1.039533,1.510497
96,0.000000,0.000000,0.000000,1.039533,1.510497
97,0.000000,0.000000,0.000000,1.039533,1.510497
98,0.000000,0.000000,0.000000,1.039533,1.510497
99,0.000000,0.000000,0.000000,1.039533,1.510497
100,0.000000,0.000000,0.000000,1.039533,1.510497
