hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
edgegpu,GD,0.005314,0.001834,0.005449,0.002904,+0.000135,+2.54,True,Baseline
edgegpu,IGD,0.009532,0.007617,0.006268,0.001801,-0.003264,-34.25,True,Adaptive
edgegpu,IGD+,0.005798,0.005792,0.002764,0.001289,-0.003035,-52.34,True,Adaptive
edgegpu,HV,0.800962,0.001447,0.801856,0.000331,+0.000894,+0.11,False,Adaptive
edgegpu,Spread,1.370958,0.025181,1.372414,0.009093,+0.001456,+0.11,True,Baseline
edgegpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgegpu,n_true_pareto,36,,36,,+0,+0.0,,Tie
edgegpu,n_on_true_pf,28,,28,,+0,+0.0,,Tie
raspi4,GD,0.001617,0.000368,0.002178,0.000630,+0.000561,+34.72,True,Baseline
raspi4,IGD,0.002419,0.000374,0.002139,0.000521,-0.000280,-11.58,True,Adaptive
raspi4,IGD+,0.001012,0.000392,0.000545,0.000356,-0.000467,-46.12,True,Adaptive
raspi4,HV,0.815524,0.000118,0.815409,0.000390,-0.000116,-0.01,False,Baseline
raspi4,Spread,1.225462,0.011962,1.216660,0.012398,-0.008802,-0.72,True,Adaptive
raspi4,n_pareto,50,,50,,+0,+0.0,,Tie
raspi4,n_true_pareto,57,,57,,+0,+0.0,,Tie
raspi4,n_on_true_pf,24,,26,,+2,+8.3,,Tie
edgetpu,GD,0.010402,0.000620,0.009475,0.005826,-0.000927,-8.91,True,Adaptive
edgetpu,IGD,0.005361,0.001076,0.005573,0.001344,+0.000212,+3.96,True,Baseline
edgetpu,IGD+,0.003100,0.000924,0.002323,0.001095,-0.000777,-25.06,True,Adaptive
edgetpu,HV,0.820736,0.001476,0.818670,0.003488,-0.002066,-0.25,False,Baseline
edgetpu,Spread,1.203398,0.038012,1.231611,0.034281,+0.028213,+2.34,True,Baseline
edgetpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgetpu,n_true_pareto,38,,38,,+0,+0.0,,Tie
edgetpu,n_on_true_pf,21,,23,,+2,+9.5,,Tie
pixel3,GD,0.004148,0.000566,0.002678,0.001058,-0.001470,-35.44,True,Adaptive
pixel3,IGD,0.002494,0.000607,0.001634,0.000306,-0.000860,-34.49,True,Adaptive
pixel3,IGD+,0.000907,0.000418,0.000411,0.000298,-0.000496,-54.66,True,Adaptive
pixel3,HV,0.877904,0.000360,0.878073,0.000184,+0.000170,+0.02,False,Adaptive
pixel3,Spread,1.079477,0.016337,1.079280,0.020935,-0.000197,-0.02,True,Adaptive
pixel3,n_pareto,50,,50,,+0,+0.0,,Tie
pixel3,n_true_pareto,45,,45,,+0,+0.0,,Tie
pixel3,n_on_true_pf,20,,31,,+11,+55.0,,Tie
eyeriss,GD,0.004393,0.002023,0.004027,0.002652,-0.000366,-8.33,True,Adaptive
eyeriss,IGD,0.001222,0.000571,0.001806,0.001307,+0.000584,+47.80,True,Baseline
eyeriss,IGD+,0.000000,0.000000,0.000634,0.001269,+0.000634,+0.00,True,Baseline
eyeriss,HV,0.787165,0.000756,0.787754,0.001685,+0.000589,+0.07,False,Adaptive
eyeriss,Spread,1.468412,0.000799,1.475413,0.017396,+0.007000,+0.48,True,Baseline
eyeriss,n_pareto,50,,50,,+0,+0.0,,Tie
eyeriss,n_true_pareto,14,,14,,+0,+0.0,,Tie
eyeriss,n_on_true_pf,12,,12,,+0,+0.0,,Tie
fpga,GD,0.007680,0.001309,0.005466,0.003806,-0.002214,-28.83,True,Adaptive
fpga,IGD,0.004656,0.001498,0.003959,0.002116,-0.000696,-14.96,True,Adaptive
fpga,IGD+,0.001595,0.001503,0.002328,0.001447,+0.000733,+45.91,True,Baseline
fpga,HV,0.761066,0.000850,0.762053,0.000995,+0.000986,+0.13,False,Adaptive
fpga,Spread,1.352984,0.020144,1.371713,0.023045,+0.018729,+1.38,True,Baseline
fpga,n_pareto,50,,50,,+0,+0.0,,Tie
fpga,n_true_pareto,18,,18,,+0,+0.0,,Tie
fpga,n_on_true_pf,13,,14,,+1,+7.7,,Tie
