hardware,metric,baseline_mean,baseline_std,adaptive_mean,adaptive_std,delta_mean,delta_pct,lower_is_better,winner
edgegpu,GD,0.001811,0.001003,0.007028,0.009072,+0.005217,+288.13,True,Baseline
edgegpu,IGD,0.004044,0.001377,0.004457,0.001664,+0.000413,+10.21,True,Baseline
edgegpu,IGD+,0.000564,0.000104,0.000649,0.000285,+0.000085,+15.14,True,Baseline
edgegpu,HV,0.860334,0.000090,0.860458,0.000230,+0.000124,+0.01,False,Adaptive
edgegpu,Spread,1.630384,0.024451,1.603280,0.021461,-0.027105,-1.66,True,Adaptive
edgegpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgegpu,n_true_pareto,25,,25,,+0,+0.0,,Tie
edgegpu,n_on_true_pf,20,,22,,+2,+10.0,,Tie
raspi4,GD,0.002406,0.000940,0.002075,0.000731,-0.000331,-13.75,True,Adaptive
raspi4,IGD,0.001563,0.000377,0.001760,0.000842,+0.000197,+12.58,True,Baseline
raspi4,IGD+,0.000213,0.000060,0.000156,0.000068,-0.000056,-26.47,True,Adaptive
raspi4,HV,0.969430,0.000139,0.969354,0.000158,-0.000076,-0.01,False,Baseline
raspi4,Spread,1.339008,0.015541,1.338211,0.011599,-0.000797,-0.06,True,Adaptive
raspi4,n_pareto,50,,50,,+0,+0.0,,Tie
raspi4,n_true_pareto,47,,47,,+0,+0.0,,Tie
raspi4,n_on_true_pf,24,,30,,+6,+25.0,,Tie
edgetpu,GD,0.010779,0.000605,0.011895,0.001421,+0.001116,+10.35,True,Baseline
edgetpu,IGD,0.004199,0.000827,0.003877,0.000787,-0.000322,-7.66,True,Adaptive
edgetpu,IGD+,0.001126,0.001330,0.001605,0.000971,+0.000479,+42.53,True,Baseline
edgetpu,HV,0.865216,0.000906,0.863764,0.002631,-0.001452,-0.17,False,Baseline
edgetpu,Spread,1.323992,0.042709,1.352791,0.031274,+0.028799,+2.18,True,Baseline
edgetpu,n_pareto,50,,50,,+0,+0.0,,Tie
edgetpu,n_true_pareto,29,,29,,+0,+0.0,,Tie
edgetpu,n_on_true_pf,17,,21,,+4,+23.5,,Tie
pixel3,GD,0.009662,0.004162,0.005497,0.003799,-0.004164,-43.10,True,Adaptive
pixel3,IGD,0.001494,0.000532,0.001232,0.000270,-0.000262,-17.55,True,Adaptive
pixel3,IGD+,0.000507,0.000133,0.000251,0.000107,-0.000255,-50.39,True,Adaptive
pixel3,HV,0.961136,0.000107,0.961314,0.000098,+0.000178,+0.02,False,Adaptive
pixel3,Spread,1.287936,0.034688,1.313720,0.006636,+0.025784,+2.00,True,Baseline
pixel3,n_pareto,50,,50,,+0,+0.0,,Tie
pixel3,n_true_pareto,47,,47,,+0,+0.0,,Tie
pixel3,n_on_true_pf,29,,31,,+2,+6.9,,Tie
eyeriss,GD,0.006174,0.001538,0.005392,0.002709,-0.000782,-12.67,True,Adaptive
eyeriss,IGD,0.003205,0.002478,0.002813,0.001544,-0.000392,-12.23,True,Adaptive
eyeriss,IGD+,0.000471,0.000941,0.000000,0.000000,-0.000471,-100.00,True,Adaptive
eyeriss,HV,0.847164,0.001718,0.848311,0.000848,+0.001147,+0.14,False,Adaptive
eyeriss,Spread,1.436174,0.016642,1.426552,0.001759,-0.009622,-0.67,True,Adaptive
eyeriss,n_pareto,50,,50,,+0,+0.0,,Tie
eyeriss,n_true_pareto,17,,17,,+0,+0.0,,Tie
eyeriss,n_on_true_pf,15,,14,,-1,-6.7,,Tie
fpga,GD,0.003989,0.000882,0.012554,0.011937,+0.008565,+214.71,True,Baseline
fpga,IGD,0.002464,0.000812,0.006939,0.003136,+0.004475,+181.59,True,Baseline
fpga,IGD+,0.000000,0.000000,0.003939,0.003685,+0.003939,+0.00,True,Baseline
fpga,HV,0.798965,0.001109,0.798351,0.001713,-0.000614,-0.08,False,Baseline
fpga,Spread,1.510204,0.000000,1.496321,0.035797,-0.013883,-0.92,True,Adaptive
fpga,n_pareto,50,,50,,+0,+0.0,,Tie
fpga,n_true_pareto,15,,15,,+0,+0.0,,Tie
fpga,n_on_true_pf,12,,10,,-2,-16.7,,Tie
